ID	Site	Long	Lat	Ele.m	pH	SOC	SCNratio	DOC	plant.species.richness	plant.shannon.diversity	vege.type	Coleoptera	Diptera	Lepidoptera	Hymenoptera	Tubificida	Acariformes	Hemiptera	Protura	Araneae	Isopoda	Collembola	Opisthopora	Bdelloidea	Tylenchida	Aphelenchida	Rhabditida	Enoplida	Dorylaimida	Others	Arthropoda	Nematoda	faunal.richness	faunal.abundance	faunal.evenness
21	776	97.02	33.75	4572	6.72	6.27	12.98	387.18	16	1.51	AM	0	1559	0	520	0	0	0	0	1039	0	0	0	0	520	1039	0	0	0	1039	3118	1559	6	5716	0.190062418
22	777	97.98	34.58	4278	7.86	5.01	16.60	274.81	5	0.76	AM	0	520	0	1039	0	0	0	0	0	0	0	0	0	2079	0	0	0	0	0	1559	2079	3	3638	0.42857145
23	778	98.25	34.87	4243	8.43	1.27	29.42	140.90	5	0.98	AS	0	1039	0	0	0	0	0	0	0	0	0	0	0	2079	0	0	0	0	0	1039	2079	2	3118	0.555626849
24	779	99.17	35.35	4162	8.33	1.93	20.16	139.31	7	1.11	AS	0	0	0	520	0	0	0	0	0	0	0	0	0	0	1039	520	0	0	520	520	1559	4	2599	0.279907728
25	780	99.38	35.42	4008	8.04	3.37	14.71	226.50	8	1.41	AS	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	520	0	2	1040	0.5
26	781	99.47	35.43	4089	8.03	3.17	13.82	187.63	6	1.10	AS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3118	0	0	0	0	0	3118	1	3118	1
27	782	101.02	36.85	3066	8.28	3.16	11.84	165.93	11	1.48	AS	0	1559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	1559	520	2	2079	0.624879779
28	783	100.92	36.97	3130	7.26	4.51	10.93	255.64	16	1.66	AS	0	1559	0	0	0	0	0	0	0	0	0	0	0	1039	0	1559	0	0	0	1559	2598	3	4157	0.34376504
29	784	99.57	37.13	3241	7.63	2.34	18.17	244.91	12	1.45	AS	0	520	0	0	0	0	0	0	0	0	0	0	0	2079	1039	0	0	0	0	520	3118	3	3638	0.42857145
30	785	98.90	36.93	3297	8.06	1.82	18.79	284.88	7	1.42	AS	0	1039	0	520	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	1559	0	3	2079	0.374879837
31	786	98.38	37.02	3130	7.98	0.90	33.50	138.09	4	0.58	DS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1039	0	0	0	0	0	1039	1	1039	1
32	787	98.38	37.27	3425	8.18	1.99	17.67	167.74	8	1.24	AS	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	520	520	2	1040	0.5
33	788	97.13	37.35	2918	8.14	0.99	47.13	230.09	3	0.44	DS	0	0	0	0	0	0	0	0	0	0	0	0	0	2079	0	0	1039	0	0	0	3118	2	3118	0.555626849
34	789	95.90	37.48	3319	8.23	0.63	57.80	207.24	3	0.76	DS	0	0	0	0	520	0	0	0	0	0	0	0	0	2079	0	0	0	0	0	0	2079	2	2599	0.679907669
35	791	94.50	35.87	3633	8.80	0.65	39.05	125.58	6	0.51	DS	0	520	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	520	520	2	1040	0.5
36	794	93.85	35.50	4598	9.01	0.67	23.43	176.27	10	1.16	AS	0	520	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	520	520	2	1040	0.5
37	795	93.32	35.32	4539	8.44	1.12	29.24	186.46	9	1.31	AM	0	520	0	0	0	0	0	0	0	520	0	0	0	1039	0	0	0	0	0	1039	1039	3	2079	0.374879837
38	796	93.03	35.12	4733	8.64	2.41	18.87	211.89	9	0.97	AM	0	1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1039	0	1	1039	1
39	797	92.93	34.93	4555	8.53	0.72	33.12	204.65	16	1.50	AM	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	1	520	1
40	798	92.62	34.37	4625	8.45	0.92	44.45	158.86	11	1.40	AS	0	1039	0	0	0	0	0	0	520	1039	0	0	0	0	0	0	0	0	0	2598	0	3	2598	0.35993845
41	799	92.35	33.95	4619	8.13	1.24	46.12	378.04	14	1.84	AS	0	0	0	0	0	0	0	0	0	0	1039	0	0	520	0	0	0	0	0	1039	520	2	1559	0.555413105
42	800	92.37	34.12	4703	8.08	3.92	20.58	597.76	6	1.07	AM	520	0	0	520	0	0	0	0	0	0	0	0	520	0	0	0	0	0	520	1039	0	4	2080	0.25
43	801	92.10	33.72	4697	8.05	1.63	18.20	271.96	13	1.48	AS	0	520	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	520	520	2	1040	0.5
44	802	91.87	33.32	4836	7.89	2.19	15.81	173.33	7	1.35	AM	0	0	520	0	0	0	0	0	0	0	0	0	0	1559	0	0	0	0	0	520	1559	2	2079	0.624879779
45	803	91.95	32.93	5228	7.34	2.50	11.65	245.87	14	1.73	AM	0	0	0	0	0	0	0	0	0	520	0	0	0	3638	8315	0	0	0	2079	520	11953	4	14552	0.410684836
46	804	91.67	32.18	4632	7.96	1.37	28.56	168.83	15	1.67	AM	0	0	520	0	0	0	0	0	0	0	0	0	0	2079	2598	0	0	0	0	520	4677	3	5197	0.419946137
47	805	91.70	31.83	4802	7.55	21.03	14.95	704.49	10	1.35	AM	520	0	0	0	0	0	0	0	0	0	0	0	0	10394	4158	0	0	0	520	520	14551	4	15592	0.517727612
48	814	100.10	37.40	3370	7.47	8.54	13.28	468.70	16	1.22	AM	520	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	1039	520	3	1560	0.333333333
